surgery,age,rectal_temperature,pulse,respiratory_rate,extremities_temp,pain,outcome
1.0,1,36.4,98.0,35.0,3.0,4.0,2.0
1.0,1,37.3,40.0,24.5,3.0,2.0,1.0
1.0,9,38.1,100.0,80.0,3.0,3.0,1.0
1.0,1,38.0,64.0,24.0,3.0,5.0,2.0
1.0,1,37.8,60.0,80.0,1.0,2.0,1.0
2.0,1,38.0,54.0,30.0,2.0,3.0,1.0
1.0,1,38.2,88.0,40.0,3.0,5.0,2.0
2.0,1,38.2,40.0,16.0,3.0,3.0,3.0
2.0,1,39.0,64.0,40.0,1.0,3.0,1.0
2.0,1,38.3,42.0,10.0,1.0,1.0,1.0
2.0,1,38.0,52.0,16.0,3.0,2.0,1.0
2.0,1,40.3,114.0,36.0,3.0,2.0,2.0
2.0,1,38.8,50.0,20.0,3.0,1.0,1.0
2.0,1,38.2,64.0,24.5,3.0,5.0,2.0
2.0,1,37.5,48.0,30.0,4.0,3.0,1.0
1.0,1,37.3,48.0,20.0,3.0,3.0,1.0
2.0,1,38.2,84.0,36.0,3.0,3.0,1.0
1.0,1,38.1,88.0,32.0,3.0,2.0,3.0
2.0,1,37.7,44.0,40.0,2.0,1.0,1.0
2.0,1,39.6,108.0,51.0,3.0,2.0,1.0
1.0,1,38.2,40.0,16.0,3.0,1.0,1.0
1.0,1,38.2,60.0,20.0,4.0,5.0,3.0
2.0,1,38.3,40.0,16.0,3.0,2.0,1.0
1.0,9,38.0,140.0,68.0,1.0,3.0,1.0
1.0,1,37.8,52.0,24.0,1.0,4.0,2.0
1.0,1,38.2,70.0,36.0,1.0,2.0,1.0
1.0,1,38.3,52.0,96.0,3.0,3.0,1.0
2.0,1,37.3,50.0,32.0,1.0,1.0,1.0
1.0,1,38.7,60.0,32.0,4.0,4.0,3.0
1.0,9,38.4,84.0,40.0,3.0,3.0,2.0
1.0,1,38.2,70.0,16.0,3.0,2.0,2.0
1.0,1,38.3,40.0,16.0,3.0,1.0,1.0
1.0,1,38.2,40.0,24.5,2.0,1.0,1.0
1.0,1,36.8,60.0,28.0,3.0,3.0,2.0
1.0,1,38.4,44.0,24.0,3.0,5.0,1.0
2.0,1,38.2,64.0,40.0,3.0,3.0,1.0
1.0,1,38.0,44.0,12.0,1.0,3.0,1.0
2.0,1,39.5,64.0,24.5,3.0,3.0,3.0
1.0,1,36.5,78.0,30.0,1.0,5.0,1.0
2.0,1,38.1,56.0,20.0,2.0,1.0,1.0
1.0,1,39.4,54.0,66.0,1.0,2.0,1.0
1.0,1,38.3,80.0,40.0,3.0,4.0,3.0
2.0,1,38.7,40.0,28.0,2.0,3.0,1.0
1.0,1,38.2,64.0,24.0,1.0,4.0,2.0
2.0,1,37.6,48.0,20.0,3.0,1.0,3.0
1.0,1,38.0,42.0,68.0,4.0,3.0,1.0
1.0,1,38.7,64.0,24.5,3.0,5.0,1.0
1.0,1,37.4,50.0,32.0,3.0,4.0,1.0
1.0,1,37.4,84.0,20.0,3.0,2.0,3.0
1.0,1,38.4,49.0,24.5,3.0,3.0,1.0
1.0,1,37.8,30.0,12.0,3.0,3.0,2.0
2.0,1,37.6,88.0,36.0,3.0,3.0,2.0
1.0,1,38.0,48.0,20.0,3.0,4.0,1.0
2.0,1,37.9,40.0,24.0,1.0,2.0,1.0
1.0,1,38.2,100.0,24.5,3.0,5.0,2.0
1.0,9,38.1,136.0,48.0,3.0,5.0,2.0
1.0,1,38.2,64.0,24.5,3.0,5.0,2.0
1.0,1,38.0,48.0,24.5,1.0,1.0,1.0
2.0,1,38.0,56.0,24.5,1.0,1.0,1.0
2.0,1,38.0,60.0,32.0,1.0,3.0,1.0
1.0,1,38.1,44.0,9.0,3.0,2.0,1.0
2.0,1,36.0,42.0,30.0,3.0,3.0,2.0
1.0,1,38.2,120.0,24.5,4.0,5.0,2.0
1.0,1,37.8,48.0,28.0,1.0,1.0,1.0
1.0,1,37.1,84.0,40.0,3.0,2.0,3.0
2.0,1,38.2,80.0,32.0,3.0,2.0,1.0
1.0,1,38.2,48.0,24.5,1.0,3.0,1.0
2.0,1,38.0,44.0,12.0,2.0,3.0,2.0
1.0,1,38.3,132.0,24.5,3.0,2.0,1.0
2.0,1,38.7,48.0,24.0,3.0,1.0,1.0
2.0,1,38.9,44.0,14.0,3.0,2.0,1.0
1.0,1,39.3,64.0,24.5,4.0,4.0,2.0
1.0,1,38.2,100.0,24.5,3.0,3.0,1.0
2.0,1,38.6,48.0,20.0,3.0,1.0,1.0
2.0,1,38.8,48.0,40.0,1.0,3.0,1.0
2.0,1,38.0,48.0,20.0,3.0,1.0,1.0
2.0,1,38.6,52.0,20.0,1.0,3.0,1.0
1.0,1,37.8,60.0,24.0,1.0,3.0,3.0
2.0,1,38.0,42.0,40.0,3.0,3.0,1.0
2.0,1,38.2,64.0,12.0,1.0,2.0,1.0
1.0,1,38.2,64.0,24.5,3.0,4.0,1.0
1.0,1,38.3,42.0,24.0,3.0,3.0,2.0
2.0,1,39.5,60.0,10.0,3.0,3.0,1.0
1.0,1,38.0,66.0,20.0,1.0,5.0,3.0
1.0,1,38.7,76.0,24.5,1.0,3.0,1.0
1.0,1,39.4,120.0,48.0,3.0,3.0,3.0
1.0,1,38.3,40.0,18.0,1.0,3.0,1.0
2.0,1,38.2,44.0,24.0,1.0,3.0,1.0
1.0,1,38.4,104.0,40.0,1.0,2.0,1.0
1.0,1,38.2,65.0,24.0,3.0,5.0,3.0
2.0,1,37.5,44.0,20.0,1.0,3.0,1.0
2.0,1,39.0,86.0,16.0,3.0,3.0,2.0
1.0,1,38.5,129.0,48.0,3.0,2.0,1.0
1.0,1,38.2,104.0,24.5,3.0,2.0,2.0
2.0,1,38.2,64.0,24.5,3.0,4.0,2.0
1.0,1,38.2,64.0,24.5,3.0,3.0,1.0
1.0,1,38.2,60.0,30.0,1.0,3.0,1.0
1.0,1,38.2,68.0,14.0,3.0,4.0,2.0
1.0,1,38.2,60.0,30.0,3.0,5.0,1.0
2.0,1,38.5,100.0,24.5,3.0,4.0,3.0
1.0,1,38.4,84.0,30.0,3.0,4.0,2.0
2.0,1,37.8,48.0,14.0,3.0,3.0,1.0
1.0,1,38.0,64.0,24.0,3.0,5.0,2.0
2.0,1,37.8,56.0,16.0,1.0,2.0,1.0
2.0,1,38.2,68.0,32.0,2.0,1.0,1.0
1.0,1,38.5,120.0,60.0,4.0,3.0,1.0
1.0,1,39.3,64.0,90.0,2.0,3.0,1.0
1.0,1,38.4,80.0,30.0,4.0,3.0,1.0
1.0,1,38.5,60.0,24.5,1.0,3.0,1.0
1.0,1,38.3,60.0,16.0,3.0,2.0,1.0
1.0,1,37.1,40.0,8.0,3.0,3.0,1.0
2.0,9,38.2,100.0,44.0,2.0,4.0,1.0
1.0,1,38.2,48.0,18.0,1.0,3.0,1.0
1.0,1,38.2,60.0,48.0,3.0,4.0,2.0
2.0,1,37.9,88.0,24.0,1.0,2.0,1.0
2.0,1,38.0,44.0,12.0,3.0,3.0,1.0
2.0,1,38.5,60.0,20.0,1.0,2.0,3.0
2.0,1,38.5,96.0,36.0,3.0,2.0,2.0
2.0,1,38.3,60.0,20.0,1.0,1.0,1.0
2.0,1,38.5,60.0,40.0,3.0,2.0,1.0
1.0,1,37.3,48.0,12.0,1.0,3.0,1.0
1.0,1,38.5,86.0,24.5,1.0,4.0,2.0
1.0,1,37.5,48.0,40.0,3.0,3.0,3.0
2.0,1,37.2,36.0,9.0,1.0,2.0,1.0
1.0,1,39.2,64.0,23.0,3.0,4.0,1.0
2.0,1,38.5,100.0,24.5,3.0,4.0,3.0
1.0,1,38.5,96.0,30.0,2.0,4.0,1.0
1.0,1,38.2,64.0,24.5,3.0,3.0,2.0
1.0,1,37.8,88.0,80.0,3.0,3.0,3.0
2.0,1,37.5,44.0,10.0,3.0,3.0,1.0
1.0,1,37.9,68.0,20.0,3.0,2.0,2.0
1.0,1,38.0,86.0,24.0,4.0,2.0,2.0
1.0,9,38.9,120.0,30.0,1.0,3.0,1.0
1.0,1,37.6,45.0,12.0,3.0,3.0,1.0
2.0,1,38.6,56.0,32.0,2.0,1.0,1.0
1.0,1,37.8,40.0,12.0,1.0,1.0,1.0
2.0,1,38.2,64.0,24.5,3.0,3.0,1.0
1.0,1,38.0,76.0,18.0,3.0,3.0,1.0
1.0,1,38.1,40.0,36.0,1.0,2.0,3.0
1.0,1,38.2,52.0,28.0,3.0,3.0,1.0
1.0,1,39.2,88.0,58.0,4.0,5.0,3.0
1.0,1,38.5,92.0,40.0,4.0,2.0,1.0
1.0,1,38.2,112.0,13.0,4.0,2.0,1.0
1.0,1,37.7,66.0,12.0,1.0,3.0,1.0
1.0,1,38.8,50.0,14.0,1.0,3.0,1.0
2.0,1,38.4,54.0,24.0,1.0,1.0,1.0
1.0,1,39.2,120.0,20.0,4.0,2.0,2.0
1.0,9,38.2,64.0,24.5,3.0,3.0,1.0
1.0,1,37.3,90.0,40.0,3.0,5.0,3.0
1.0,9,38.5,120.0,70.0,3.0,3.0,1.0
1.0,1,38.5,104.0,40.0,3.0,4.0,1.0
2.0,1,39.5,92.0,28.0,3.0,5.0,2.0
1.0,1,38.5,30.0,18.0,3.0,3.0,1.0
1.0,1,38.3,72.0,30.0,4.0,3.0,1.0
2.0,1,37.5,48.0,30.0,4.0,3.0,1.0
1.0,1,38.1,52.0,24.0,1.0,4.0,2.0
2.0,1,38.2,42.0,26.0,1.0,3.0,1.0
2.0,1,37.9,54.0,42.0,2.0,3.0,1.0
2.0,1,36.1,88.0,24.5,3.0,3.0,3.0
1.0,1,38.1,70.0,22.0,3.0,5.0,3.0
1.0,1,38.0,90.0,30.0,4.0,5.0,2.0
1.0,1,38.2,52.0,16.0,1.0,1.0,1.0
1.0,1,38.2,36.0,32.0,1.0,5.0,2.0
1.0,1,38.4,92.0,20.0,1.0,3.0,1.0
1.0,9,38.2,124.0,88.0,1.0,2.0,1.0
2.0,1,38.2,96.0,24.5,3.0,5.0,2.0
1.0,1,37.6,68.0,32.0,3.0,4.0,1.0
1.0,1,38.1,88.0,24.0,3.0,5.0,2.0
1.0,1,38.0,108.0,60.0,2.0,4.0,1.0
2.0,1,38.2,48.0,24.5,2.0,3.0,1.0
1.0,1,39.3,100.0,51.0,4.0,2.0,3.0
2.0,1,36.6,42.0,18.0,3.0,1.0,2.0
1.0,9,38.8,124.0,36.0,3.0,2.0,2.0
2.0,1,38.2,112.0,24.0,3.0,5.0,1.0
1.0,1,38.2,80.0,24.5,3.0,4.0,1.0
1.0,9,38.8,184.0,84.0,1.0,4.0,2.0
1.0,1,37.5,72.0,24.5,2.0,2.0,3.0
1.0,1,38.7,96.0,28.0,3.0,3.0,2.0
2.0,1,37.5,52.0,12.0,1.0,2.0,1.0
1.0,1,40.8,72.0,42.0,3.0,2.0,2.0
2.0,1,38.0,40.0,25.0,3.0,4.0,1.0
2.0,1,38.4,48.0,16.0,2.0,1.0,1.0
2.0,9,38.6,88.0,28.0,3.0,3.0,1.0
1.0,1,37.1,75.0,36.0,3.0,4.0,2.0
1.0,1,38.3,44.0,21.0,3.0,3.0,1.0
2.0,1,38.2,56.0,68.0,3.0,3.0,3.0
2.0,1,38.6,68.0,20.0,2.0,3.0,1.0
2.0,1,38.3,54.0,18.0,3.0,2.0,1.0
1.0,1,38.2,42.0,20.0,3.0,3.0,1.0
1.0,1,39.3,64.0,90.0,2.0,3.0,1.0
1.0,1,37.5,60.0,50.0,3.0,3.0,2.0
1.0,1,37.7,80.0,24.5,3.0,5.0,1.0
1.0,1,38.2,100.0,30.0,3.0,5.0,1.0
1.0,1,37.7,120.0,28.0,3.0,5.0,2.0
1.0,1,38.2,76.0,24.5,3.0,3.0,3.0
1.0,9,38.8,150.0,50.0,1.0,5.0,2.0
1.0,1,38.0,36.0,16.0,3.0,4.0,3.0
2.0,1,36.9,50.0,40.0,2.0,1.0,1.0
2.0,1,37.8,40.0,16.0,1.0,1.0,1.0
2.0,1,38.2,56.0,40.0,4.0,2.0,1.0
1.0,1,38.6,48.0,12.0,3.0,1.0,1.0
2.0,1,40.0,78.0,24.5,3.0,2.0,2.0
1.0,1,38.2,70.0,16.0,3.0,2.0,2.0
1.0,1,38.2,72.0,18.0,3.0,3.0,1.0
2.0,1,38.5,54.0,24.5,1.0,3.0,1.0
1.0,1,38.5,66.0,24.0,1.0,3.0,1.0
2.0,1,37.8,82.0,12.0,3.0,4.0,3.0
2.0,9,39.5,84.0,30.0,3.0,3.0,1.0
1.0,1,38.2,64.0,24.5,3.0,3.0,1.0
1.0,1,38.0,50.0,36.0,3.0,3.0,1.0
2.0,1,38.6,45.0,16.0,2.0,1.0,1.0
1.0,1,38.9,80.0,44.0,3.0,2.0,2.0
1.0,1,37.0,66.0,20.0,1.0,4.0,2.0
1.0,1,38.2,78.0,24.0,3.0,3.0,3.0
2.0,1,38.5,40.0,16.0,1.0,2.0,1.0
1.0,1,38.2,120.0,70.0,4.0,2.0,3.0
2.0,1,37.2,72.0,24.0,3.0,4.0,3.0
1.0,1,37.5,72.0,30.0,4.0,4.0,2.0
1.0,1,36.5,100.0,24.0,3.0,3.0,1.0
1.0,1,37.2,40.0,20.0,3.0,3.0,3.0
